company	bean_origin_detailed	REF	review_date	cocoa_percent	location	rating	bean_type	bean_origin
Acalli	Chulucanas, El Platanal	1462	2015	70%	U.S.A.	3.75		Peru
Acalli	Tumbes, Norandino	1470	2015	70%	U.S.A.	3.75	Criollo	Peru
Akesson's (Pralus)	Bali (west), Sukrama Family, Melaya area	636	2011	75%	Switzerland	3.75	Trinitario	Indonesia
Akesson's (Pralus)	Madagascar, Ambolikapiky P.	502	2010	75%	Switzerland	2.75	Criollo	Madagascar
Akesson's (Pralus)	Monte Alegre, D. Badero	508	2010	75%	Switzerland	2.75	Forastero	Brazil
Altus aka Cao Artisan	Momotombo	1728	2016	60%	U.S.A.	2.75		Nicaragua
Altus aka Cao Artisan	Acopagro	1728	2016	60%	U.S.A.	3.0		Peru
Altus aka Cao Artisan	CIAAB Coop	1732	2016	60%	U.S.A.	2.5		Bolivia
Altus aka Cao Artisan	Villa Andina	1732	2016	60%	U.S.A.	2.5		Peru
Altus aka Cao Artisan	Gruppo Salinas	1732	2016	60%	U.S.A.	2.75		Ecuador
Altus aka Cao Artisan	Sur del Lago	1125	2013	60%	U.S.A.	2.5		Venezuela
Altus aka Cao Artisan	Conacado	1125	2013	60%	U.S.A.	3.0	Trinitario	Dominican Republic
Altus aka Cao Artisan	Bolivia	1129	2013	80%	U.S.A.	3.25		Bolivia
Altus aka Cao Artisan	Bolivia	1133	2013	60%	U.S.A.	3.0		Bolivia
Altus aka Cao Artisan	Peru	1133	2013	60%	U.S.A.	3.25		Peru
Amano	Morobe	725	2011	70%	U.S.A.	4.0		Papua New Guinea
Amano	Dos Rios	470	2010	70%	U.S.A.	3.75		Dominican Republic
Amano	Guayas	470	2010	70%	U.S.A.	4.0		Ecuador
Amano	Chuao	544	2010	70%	U.S.A.	3.0	Trinitario	Venezuela
Amano	Montanya	363	2009	70%	U.S.A.	3.0		Venezuela
Amano	Bali, Jembrana	304	2008	70%	U.S.A.	2.75		Indonesia
Amano	Madagascar	129	2007	70%	U.S.A.	3.5	Trinitario	Madagascar
Amano	Cuyagua	147	2007	70%	U.S.A.	3.0		Venezuela
Amano	Ocumare	175	2007	70%	U.S.A.	3.75	Criollo	Venezuela
Amazona	LamasdelChanka, San Martin, Oro Verde coop	1145	2013	72%	Peru	3.25		Peru
