GEOID,state,income,income.moe,age,age.moe
01001,Alabama,51281.0,2391.0,37.7,0.5
01003,Alabama,50254.0,1263.0,42.2,0.3
01005,Alabama,32964.0,2973.0,38.8,0.5
01007,Alabama,38678.0,3995.0,38.9,0.9
01009,Alabama,45813.0,3141.0,40.7,0.4
01011,Alabama,31938.0,5884.0,39.3,2.2
01013,Alabama,32229.0,1793.0,40.5,0.4
01015,Alabama,41703.0,925.0,39.1,0.4
01017,Alabama,34177.0,2949.0,43.0,0.5
01019,Alabama,36296.0,1710.0,45.4,0.4
01021,Alabama,41627.0,2025.0,38.8,0.6
01023,Alabama,33536.0,2231.0,44.9,0.2
01025,Alabama,32011.0,3088.0,41.1,0.9
01027,Alabama,35327.0,4517.0,43.8,0.7
01029,Alabama,38056.0,3883.0,41.3,0.7
01031,Alabama,46729.0,2066.0,38.8,0.6
01033,Alabama,40576.0,2536.0,42.2,0.4
01035,Alabama,24900.0,3001.0,43.7,0.4
01037,Alabama,31212.0,2971.0,45.1,0.2
01039,Alabama,36444.0,1673.0,42.6,0.4
01041,Alabama,36022.0,3041.0,41.3,0.5
01043,Alabama,38971.0,1526.0,40.5,0.4
01045,Alabama,45028.0,2413.0,36.8,0.4
01047,Alabama,27306.0,2075.0,38.7,0.5
01049,Alabama,38192.0,1360.0,39.3,0.5
01051,Alabama,53555.0,1980.0,37.9,0.4
01053,Alabama,32330.0,2209.0,40.3,0.6
01055,Alabama,39220.0,1976.0,40.8,0.3
01057,Alabama,34680.0,2112.0,43.2,0.8
01059,Alabama,35372.0,2437.0,38.8,0.9
01061,Alabama,36024.0,2022.0,42.2,0.4
01063,Alabama,20541.0,2413.0,42.4,0.7
01065,Alabama,32714.0,2373.0,40.2,0.7
01067,Alabama,41997.0,3220.0,43.0,0.6
01069,Alabama,41571.0,863.0,39.0,0.2
01071,Alabama,37745.0,1399.0,42.2,0.6
01073,Alabama,45610.0,910.0,37.4,0.1
01075,Alabama,35450.0,2018.0,43.7,0.9
01077,Alabama,43125.0,1602.0,41.1,0.4
01079,Alabama,40003.0,2651.0,41.7,0.7
01081,Alabama,44570.0,2152.0,30.3,0.2
01083,Alabama,49570.0,1409.0,39.0,0.4
01085,Alabama,25876.0,2478.0,39.5,1.4
01087,Alabama,30738.0,2093.0,37.5,0.9
01089,Alabama,57993.0,1443.0,37.8,0.2
01091,Alabama,32042.0,2576.0,42.2,0.6
01093,Alabama,32299.0,2084.0,44.1,0.4
01095,Alabama,38983.0,1262.0,38.8,0.3
01097,Alabama,43809.0,999.0,37.0,0.2
01099,Alabama,27257.0,3360.0,41.1,0.5
01101,Alabama,44369.0,1030.0,35.2,0.2
01103,Alabama,45751.0,1183.0,39.5,0.4
01105,Alabama,24537.0,2928.0,36.3,0.6
01107,Alabama,30330.0,2351.0,42.4,0.5
01109,Alabama,32825.0,2455.0,31.3,1.0
01111,Alabama,36924.0,2722.0,42.8,0.5
01113,Alabama,37049.0,2363.0,34.8,0.3
01115,Alabama,51859.0,1549.0,39.8,0.5
01117,Alabama,70187.0,1477.0,37.9,0.2
01119,Alabama,19501.0,2420.0,36.7,0.9
01121,Alabama,35155.0,1837.0,40.9,0.4
01123,Alabama,39206.0,2289.0,42.8,0.4
01125,Alabama,46565.0,1280.0,31.9,0.2
