date,state,unemploy_perc,house_price_index,house_price_perc
1976-01-01,Alabama,6.7,37.138285042,0.04040540509657742
1976-02-01,Alabama,6.7,37.756436852,0.05180597266831888
1976-03-01,Alabama,6.6,38.276319431,0.059302328875315835
1976-04-01,Alabama,6.5,38.596134722,0.059584576628224806
1976-05-01,Alabama,6.4,38.740517151,0.05572338136682187
1976-06-01,Alabama,6.5,38.797231104,0.05359367518105351
1976-07-01,Alabama,6.6,38.856954979,0.0574166905296527
1976-08-01,Alabama,6.8,38.918701217,0.06592197696263491
1976-09-01,Alabama,6.9,38.958367525,0.07456134174135864
1976-10-01,Alabama,7.0,39.018757584,0.07967681753316169
1976-11-01,Alabama,7.2,39.159407504,0.08033511041105812
1976-12-01,Alabama,7.3,39.316048066,0.07443905402949547
1977-01-01,Alabama,7.5,39.393663789,0.060729210959778346
1977-02-01,Alabama,7.7,39.416713327,0.043973335765449706
1977-03-01,Alabama,7.8,39.450967435,0.030688635204790815
1977-04-01,Alabama,7.9,39.609240892,0.02624890231359167
1977-05-01,Alabama,7.8,39.921331167,0.030480078812513245
1977-06-01,Alabama,7.6,40.340456375,0.039776685786241606
1977-07-01,Alabama,7.4,40.848171673,0.05124479504572976
1977-08-01,Alabama,7.1,41.379151588,0.06322025900302286
1977-09-01,Alabama,6.9,41.879745785,0.0749871836422642
1977-10-01,Alabama,6.8,42.334960388,0.08498996404129078
1977-11-01,Alabama,6.7,42.658255377,0.08934884606317417
1977-12-01,Alabama,6.6,42.778395517,0.08806448311355575
1978-01-01,Alabama,6.5,42.779957866,0.0859603741134014
1978-02-01,Alabama,6.4,42.803358513,0.08591901506106003
1978-03-01,Alabama,6.2,42.984400599,0.08956518416998849
1978-04-01,Alabama,6.1,43.403429045,0.09579047887702186
1978-05-01,Alabama,6.0,43.94508165,0.10079199178423526
1978-06-01,Alabama,6.0,44.501789618,0.10315533379981479
1978-07-01,Alabama,6.1,45.127224861,0.10475507257105421
1978-08-01,Alabama,6.3,45.805464058,0.10696962842717239
1978-09-01,Alabama,6.4,46.380876979,0.10747751949373496
1978-10-01,Alabama,6.5,46.748239963,0.1042466919669296
1978-11-01,Alabama,6.6,46.996488506,0.10169738754339774
1978-12-01,Alabama,6.7,47.22352974,0.10391072805041301
1979-01-01,Alabama,6.8,47.437293109,0.10886722370293622
1979-02-01,Alabama,6.9,47.666990585,0.11362734703452881
1979-03-01,Alabama,7.1,47.956770288,0.11567846985670616
1979-04-01,Alabama,7.2,48.322774795,0.11334002539061361
1979-05-01,Alabama,7.3,48.756133479,0.10947873228038474
1979-06-01,Alabama,7.3,49.203609956,0.10565463497895422
1979-07-01,Alabama,7.3,49.588564212,0.09886137170503462
1979-08-01,Alabama,7.3,49.924735007,0.08992968489052044
1979-09-01,Alabama,7.3,50.204688332,0.08244370529542433
1979-10-01,Alabama,7.2,50.377322693,0.07763036069106177
1979-11-01,Alabama,7.2,50.469541083,0.07390025696401992
1979-12-01,Alabama,7.2,50.51296869,0.0696567784769746
1980-01-01,Alabama,7.3,50.544283218,0.06549678334007902
1980-02-01,Alabama,7.5,50.616511603,0.06187764282581254
1980-03-01,Alabama,7.8,50.720998986,0.057640009562772265
1980-04-01,Alabama,8.3,50.787162531,0.050998473213814455
1980-05-01,Alabama,8.8,50.861545191,0.04318249954965836
1980-06-01,Alabama,9.2,51.140138152,0.03935744140992359
1980-07-01,Alabama,9.5,51.684403608,0.04226457106198733
1980-08-01,Alabama,9.7,52.323260382,0.0480428263597934
1980-09-01,Alabama,9.7,52.769714892,0.05109137503329686
1980-10-01,Alabama,9.6,52.804915302,0.04818820213598429
1980-11-01,Alabama,9.6,52.433238225,0.038908559496718675
1980-12-01,Alabama,9.6,51.820168768,0.025878504310889783
1981-01-01,Alabama,9.6,51.161323055,0.012207905577346523
1981-02-01,Alabama,9.7,50.675583755,0.0011670530056144823
1981-03-01,Alabama,9.8,50.543904806,-0.0034915357256445345
1981-04-01,Alabama,9.9,50.798577001,0.00022475108730546367
1981-05-01,Alabama,10.0,51.361959711,0.009838759678275633
1981-06-01,Alabama,10.1,52.052977758,0.017849768087971007
1981-07-01,Alabama,10.3,52.700203221,0.019653890576049493
1981-08-01,Alabama,10.6,53.184945855,0.01646849731284017
1981-09-01,Alabama,11.0,53.375070896,0.011471655763896527
1981-10-01,Alabama,11.4,53.231240946,0.008073597724033377
1981-11-01,Alabama,11.8,52.845082696,0.007854644972197011
1981-12-01,Alabama,12.2,52.423205964,0.01163711370180609
1982-01-01,Alabama,12.5,52.193666846,0.02017820746915011
1982-02-01,Alabama,12.8,52.250271904,0.031073902505259987
1982-03-01,Alabama,13.1,52.479115656,0.03828771950698728
1982-04-01,Alabama,13.3,52.720900584,0.0378420754377069
1982-05-01,Alabama,13.6,52.936101607,0.030648010801326064
1982-06-01,Alabama,13.9,53.142581903,0.02093259966923866
1982-07-01,Alabama,14.2,53.310864056,0.011587447441885113
1982-08-01,Alabama,14.6,53.373824091,0.0035513477162305573
1982-09-01,Alabama,14.9,53.383330907,0.00015475409889575964
1982-10-01,Alabama,15.2,53.471668055,0.004516654218974514
1982-11-01,Alabama,15.4,53.656158091,0.01534817155393342
1982-12-01,Alabama,15.5,53.848287437,0.027184172482290325
1983-01-01,Alabama,15.4,53.996077397,0.03453312748303561
1983-02-01,Alabama,15.2,54.125962615,0.03589820000259958
1983-03-01,Alabama,14.8,54.268511922,0.03409730220549978
1983-04-01,Alabama,14.5,54.464385072,0.03307008166945313
1983-05-01,Alabama,14.2,54.750758565,0.03428013969506294
1983-06-01,Alabama,14.0,55.12020132,0.03721346133708181
1983-07-01,Alabama,13.7,55.54674559,0.04194044822930154
1983-08-01,Alabama,13.5,55.945793432,0.04818784085275407
1983-09-01,Alabama,13.2,56.236064022,0.05343864960337141
1983-10-01,Alabama,12.8,56.477093024,0.05620593256804085
1983-11-01,Alabama,12.5,56.798583389,0.0585659765775719
1983-12-01,Alabama,12.2,57.235458929,0.0629021209999081
1984-01-01,Alabama,11.9,57.688169095,0.06837703544378448
1984-02-01,Alabama,11.6,58.037246293,0.07226261647891818
1984-03-01,Alabama,11.4,58.305306715,0.07438558106774829
1984-04-01,Alabama,11.3,58.612646828,0.0761646670666738
1984-05-01,Alabama,11.2,58.942550647,0.07656135169384926
1984-06-01,Alabama,11.1,59.205596245,0.07411792459324062
1984-07-01,Alabama,11.0,59.320680751,0.06794160703592
1984-08-01,Alabama,10.9,59.165370353,0.057548150155619426
1984-09-01,Alabama,10.7,58.702874475,0.04386527570697285
1984-10-01,Alabama,10.5,58.02613455,0.027427784311450543
1984-11-01,Alabama,10.3,57.355904993,0.009812244791089997
