length,year
121,1971
71,1939
7,1941
70,1996
71,1975
91,2000
93,2002
25,2002
97,1987
61,1917
99,1988
96,1994
10,1965
106,1983
101,1987
107,1980
10,1968
110,1988
7,1981
90,1995
85,1935
88,1974
95,1988
18,1921
80,1979
6,1935
86,1989
92,1945
7,1995
105,1985
140,1987
99,1996
19,1997
74,1966
117,1991
61,1942
41,1946
52,1934
96,1986
90,1989
120,1941
83,2001
133,1986
90,1975
15,1951
113,1997
99,1940
9,1940
101,1989
13,2002
82,2002
118,1996
80,2001
87,2004
92,2002
106,1987
7,1987
96,1959
77,1932
95,1967
113,1981
84,1990
119,1979
93,1973
104,1935
109,1977
106,1998
8,1997
10,1978
5,2000
96,1980
88,1990
92,1999
22,2004
90,1975
82,1984
95,2005
88,1996
15,1974
96,1971
100,1968
98,1976
105,1968
100,1970
94,1958
95,2000
97,1957
14,2001
96,2002
90,1994
83,1964
90,1965
87,1994
117,2004
101,1966
95,1954
96,1955
110,1955
155,2002
85,1979
70,1935
72,2003
125,1960
105,1952
48,1986
122,1979
84,1977
111,1971
10,1998
97,1999
95,1982
92,1973
240,2004
88,2004
6,2003
101,1983
100,1967
28,1997
161,1991
100,2001
90,2000
98,2002
88,2001
94,1997
110,1969
9,1994
100,2004
101,1995
92,1971
95,1994
79,1963
18,1997
75,1959
79,1986
23,1998
98,1990
117,1989
103,1996
78,2000
100,2000
103,2001
112,1993
100,2000
14,2000
85,1966
105,2004
94,1974
11,2000
85,2004
134,2002
95,2004
95,2003
94,1969
96,1957
150,2001
86,1998
4,2003
18,1999
89,2001
55,1956
161,1971
74,1960
60,1997
85,1959
25,1990
92,2002
85,2003
69,1960
89,1963
85,1960
98,2004
135,2004
93,2002
95,1947
80,1962
122,2003
110,1982
89,1987
88,1988
58,2003
85,1951
70,1937
85,2000
102,1999
7,1952
52,2003
83,1985
105,1973
27,1998
154,1992
88,1998
90,2003
92,1998
25,1999
120,2001
20,2000
120,2000
74,2003
145,1985
158,2002
82,1948
6,1967
86,1995
1,1998
107,1998
75,1989
95,2001
180,1972
150,1974
23,2004
93,1988
87,1999
89,1977
98,1991
100,2004
80,1934
100,1990
58,1997
30,1995
82,2000
77,2002
73,1971
245,1976
94,1985
99,1985
8,1997
32,1925
193,1989
7,1941
146,1979
157,1993
80,1989
18,1955
96,1980
95,1988
8,2000
90,1974
90,1956
89,1982
99,1992
80,1998
92,1998
90,1988
86,1999
76,2002
104,1996
90,1997
