gene	tpm_wt	label	strain	tpm_mutant	background	knockout
0.3	0.0009473417853596758		phi9v2	0.0011314645944574336	wt	"paste(Delta, phi, ""9"")"
0.4	1.5760609980165976e-06		phi9v2	4.277927567673907e-07	wt	"paste(Delta, phi, ""9"")"
0.7	0.00045426013250041597		phi9v2	0.0005231127073018773	wt	"paste(Delta, phi, ""9"")"
0.5	9.070193380385774e-07		phi9v2	1.4043338843093633e-07	wt	"paste(Delta, phi, ""9"")"
0.6B	4.286619184509195e-07		phi9v2	1.6231510822536834e-07	wt	"paste(Delta, phi, ""9"")"
0.6A	2.157146854190165e-07		phi9v2	8.7946554130477e-08	wt	"paste(Delta, phi, ""9"")"
1	0.0011262250376203181		phi9v2	0.0011992327065349466	wt	"paste(Delta, phi, ""9"")"
1.2	0.006946088163029126		phi9v2	0.009328417005407158	wt	"paste(Delta, phi, ""9"")"
1.1	0.0074273393096180515		phi9v2	0.009639937822673954	wt	"paste(Delta, phi, ""9"")"
1.3	0.007140217037370791		phi9v2	0.00994194527912255	wt	"paste(Delta, phi, ""9"")"
1.4	0.0035823868785066475		phi9v2	0.004139401623528943	wt	"paste(Delta, phi, ""9"")"
1.5	0.01069803344234591		phi9v2	0.015790482881751708	wt	"paste(Delta, phi, ""9"")"
1.6	0.008647038982139543		phi9v2	0.012470495638406852	wt	"paste(Delta, phi, ""9"")"
1.7	0.009550071821309507		phi9v2	0.014393041397467936	wt	"paste(Delta, phi, ""9"")"
1.8	0.015034614606147363		phi9v2	0.022385545737759083	wt	"paste(Delta, phi, ""9"")"
2	0.01100446719483907		phi9v2	0.015669848235609088	wt	"paste(Delta, phi, ""9"")"
2.5	0.012774637164722541		phi9v2	0.01591539534068808	wt	"paste(Delta, phi, ""9"")"
2.8	0.0151323602419194		phi9v2	0.01737854783813681	wt	"paste(Delta, phi, ""9"")"
3	0.020529444435843036		phi9v2	0.029189100603713148	wt	"paste(Delta, phi, ""9"")"
3.5	0.025622535849217476		phi9v2	0.03152004003069945	wt	"paste(Delta, phi, ""9"")"
3.8	0.0010850084840926684		phi9v2	0.001454180516772945	wt	"paste(Delta, phi, ""9"")"
4A	0.0019200163962098148		phi9v2	0.0025364730914755915	wt	"paste(Delta, phi, ""9"")"
4.1	0.0025850355897906073		phi9v2	0.003337465703086762	wt	"paste(Delta, phi, ""9"")"
4B	0.0019988098982957675		phi9v2	0.002645066528744977	wt	"paste(Delta, phi, ""9"")"
4.2	0.003920213082933003		phi9v2	0.0059643208408868735	wt	"paste(Delta, phi, ""9"")"
4.3	0.008517204795573519		phi9v2	0.013294189075429935	wt	"paste(Delta, phi, ""9"")"
4.5	0.0056222812849951575		phi9v2	0.007555298903740833	wt	"paste(Delta, phi, ""9"")"
4.7	0.001974504596179401		phi9v2	0.0028340115960983816	wt	"paste(Delta, phi, ""9"")"
5	0.0023919550714731337		phi9v2	0.00323031310510269	wt	"paste(Delta, phi, ""9"")"
5.3	0.004799029371345993		phi9v2	0.007427485371829355	wt	"paste(Delta, phi, ""9"")"
5.5-5.7	0.0055430238851232475		phi9v2	0.007657430159328845	wt	"paste(Delta, phi, ""9"")"
5.5	0.006349627957261149		phi9v2	0.00897753872816061	wt	"paste(Delta, phi, ""9"")"
5.7	0.007626246740450409		phi9v2	0.010244184177148313	wt	"paste(Delta, phi, ""9"")"
5.9	0.007788084759816823		phi9v2	0.010242599548888518	wt	"paste(Delta, phi, ""9"")"
6	0.006998431512180275		phi9v2	0.008473940921447728	wt	"paste(Delta, phi, ""9"")"
6.3	0.011663469691809978		phi9v2	0.013444050148551216	wt	"paste(Delta, phi, ""9"")"
6.5	0.03246092561985811		phi9v2	0.038356582321510714	wt	"paste(Delta, phi, ""9"")"
6.7	0.03499898559703219		phi9v2	0.03996433974558955	wt	"paste(Delta, phi, ""9"")"
7	0.03671498722302529		phi9v2	0.04335662450588405	wt	"paste(Delta, phi, ""9"")"
7.3	0.04331317840307435		phi9v2	0.05025698108282724	wt	"paste(Delta, phi, ""9"")"
7.7	0.03547522917069264		phi9v2	0.030281307226302418	wt	"paste(Delta, phi, ""9"")"
8	0.03006269427058609	8	phi9v2	0.015716800132664483	wt	"paste(Delta, phi, ""9"")"
9	0.05589605308615307	9	phi9v2	0.016212415582203366	wt	"paste(Delta, phi, ""9"")"
10A	0.128235911571677	10A	phi9v2	0.08305861826415498	wt	"paste(Delta, phi, ""9"")"
