id	happy	year	age	sex	marital	degree	finrela	health	wtssall
1.0	not too happy	1972.0	23.0	female	never married	bachelor	average	good	0.4446
2.0	not too happy	1972.0	70.0	male	married	lt high school	above average	fair	0.8893
3.0	pretty happy	1972.0	48.0	female	married	high school	average	excellent	0.8893
4.0	not too happy	1972.0	27.0	female	married	bachelor	average	good	0.8893
5.0	pretty happy	1972.0	61.0	female	married	high school	above average	good	0.8893
6.0	pretty happy	1972.0	26.0	male	never married	high school	above average	good	0.4446
7.0	not too happy	1972.0	28.0	male	divorced	high school	above average	excellent	0.4446
8.0	not too happy	1972.0	27.0	male	never married	bachelor	average	good	0.4446
9.0	pretty happy	1972.0	21.0	female	never married	high school	average	excellent	0.4446
10.0	pretty happy	1972.0	30.0	female	married	high school	below average	fair	0.8893
11.0	pretty happy	1972.0	30.0	female	married	high school	average	good	0.8893
12.0	pretty happy	1972.0	56.0	male	married	lt high school	average	fair	1.3339
13.0	pretty happy	1972.0	54.0	male	married	lt high school	below average	excellent	0.8893
14.0	not too happy	1972.0	49.0	female	divorced	lt high school	average	good	1.3339
15.0	very happy	1972.0	41.0	male	married	lt high school	average	excellent	0.8893
16.0	not too happy	1972.0	54.0	male	married	high school	average	good	0.8893
17.0	very happy	1972.0	24.0	male	married	high school	average	fair	0.8893
18.0	very happy	1972.0	62.0	female	married	lt high school	average	fair	0.8893
19.0	very happy	1972.0	46.0	female	married	bachelor	above average	excellent	1.3339
20.0	very happy	1972.0	21.0	female	never married	high school	above average	good	1.7786
21.0	very happy	1972.0	57.0	male	married	high school	above average	good	0.8893
22.0	very happy	1972.0	58.0	male	married	high school	above average	good	0.8893
23.0	very happy	1972.0	21.0	male	married	high school	below average	good	0.8893
24.0	very happy	1972.0	26.0	female	married	high school	average	good	0.8893
25.0	pretty happy	1972.0	71.0	female	married	bachelor	average	excellent	0.8893
26.0	very happy	1972.0	53.0	female	married	high school	average	excellent	0.8893
27.0	pretty happy	1972.0	42.0	male	married	high school	average	excellent	0.8893
28.0	pretty happy	1972.0	42.0	female	married	high school	average	good	0.8893
29.0	pretty happy	1972.0	20.0	male	married	high school	above average	excellent	0.8893
30.0	pretty happy	1972.0	23.0	male	married	lt high school	average	fair	0.8893
31.0	pretty happy	1972.0	26.0	male	married	lt high school	average	good	0.8893
32.0	very happy	1972.0	25.0	female	married	high school	below average	excellent	0.8893
33.0	pretty happy	1972.0	26.0	male	never married	bachelor	above average	excellent	1.3339
34.0	very happy	1972.0	78.0	female	married	lt high school	average	excellent	0.8893
35.0	very happy	1972.0	21.0	male	married	high school	above average	good	0.8893
36.0	not too happy	1972.0	27.0	male	married	high school	average	excellent	0.8893
37.0	very happy	1972.0	58.0	female	married	high school	above average	excellent	0.8893
38.0	pretty happy	1972.0	35.0	female	married	lt high school	average	good	0.8893
39.0	not too happy	1972.0	58.0	male	never married	lt high school	average	fair	0.4446
40.0	pretty happy	1972.0	51.0	female	married	high school	below average	good	0.8893
41.0	very happy	1972.0	76.0	female	widowed	lt high school	below average	excellent	0.4446
42.0	not too happy	1972.0	53.0	male	married	high school	average	fair	0.8893
43.0	pretty happy	1972.0	39.0	male	married	lt high school	below average	good	0.8893
44.0	very happy	1972.0	64.0	female	married	lt high school	average	good	0.8893
45.0	pretty happy	1972.0	50.0	female	married	lt high school	average	good	1.3339
46.0	very happy	1972.0	27.0	female	married	high school	average	excellent	0.8893
47.0	pretty happy	1972.0	25.0	male	never married	high school	average	good	1.3339
48.0	pretty happy	1972.0	49.0	male	married	high school	average	good	1.3339
49.0	very happy	1972.0	40.0	male	married	lt high school	average	excellent	0.8893
50.0	pretty happy	1972.0	43.0	male	married	lt high school	average	good	1.3339
51.0	pretty happy	1972.0	46.0	male	married	lt high school	average	good	1.3339
52.0	very happy	1972.0	37.0	male	married	high school	below average	good	0.8893
53.0	very happy	1972.0	46.0	male	married	lt high school	average	good	0.8893
54.0	very happy	1972.0	22.0	female	married	high school	average	excellent	0.8893
55.0	very happy	1972.0	53.0	female	married	lt high school	average	excellent	2.2232
56.0	pretty happy	1972.0	35.0	male	married	high school	average	excellent	0.8893
57.0	pretty happy	1972.0	31.0	female	married	high school	above average	good	0.8893
58.0	pretty happy	1972.0	30.0	female	married	high school	average	good	0.8893
59.0	very happy	1972.0	37.0	female	married	high school	average	good	0.8893
60.0	very happy	1972.0	57.0	female	married	lt high school	average	good	0.8893
61.0	very happy	1972.0	39.0	male	married	high school	below average	good	0.8893
62.0	pretty happy	1972.0	62.0	female	married	lt high school	average	fair	1.3339
63.0	pretty happy	1972.0	51.0	male	married	high school	below average	fair	1.3339
64.0	pretty happy	1972.0	43.0	male	married	lt high school	average	excellent	0.8893
65.0	very happy	1972.0	39.0	male	married	high school	average	excellent	0.8893
66.0	pretty happy	1972.0	52.0	female	married	lt high school	average	poor	0.8893
67.0	pretty happy	1972.0	30.0	male	married	high school	average	excellent	0.8893
68.0	very happy	1972.0	47.0	female	married	high school	average	fair	0.8893
69.0	pretty happy	1972.0	31.0	female	never married	high school	average	good	0.8893
70.0	pretty happy	1972.0	25.0	male	married	bachelor	below average	excellent	0.8893
71.0	pretty happy	1972.0	45.0	male	married	lt high school	above average	good	0.8893
72.0	pretty happy	1972.0	30.0	female	married	high school	average	excellent	0.8893
73.0	pretty happy	1972.0	68.0	male	married	lt high school	average	fair	0.8893
74.0	not too happy	1972.0	63.0	female	married	lt high school	average	excellent	0.8893
75.0	pretty happy	1972.0	19.0	male	never married	high school	average	good	1.7786
76.0	pretty happy	1972.0	23.0	male	never married	bachelor	average	excellent	0.8893
77.0	pretty happy	1972.0	46.0	female	married	lt high school	above average	fair	1.3339
78.0	not too happy	1972.0	55.0	female	widowed	lt high school	average	excellent	0.8893
79.0	very happy	1972.0	22.0	male	never married	high school	above average	good	1.7786
80.0	pretty happy	1972.0	55.0	female	never married	high school	above average	fair	0.8893
81.0	pretty happy	1972.0	44.0	male	married	lt high school	average	fair	1.7786
82.0	pretty happy	1972.0	41.0	female	married	high school	average	good	0.8893
83.0	very happy	1972.0	49.0	male	divorced	high school	far above average	excellent	0.4446
84.0	very happy	1972.0	28.0	female	married	high school		fair	0.8893
85.0	pretty happy	1972.0	21.0	male	never married	high school	average	good	0.8893
86.0	very happy	1972.0	26.0	male	married	bachelor	average	excellent	0.8893
87.0	pretty happy	1972.0	31.0	female	married	graduate	below average	good	0.8893
88.0	pretty happy	1972.0	28.0	female	never married	graduate	average	excellent	1.3339
89.0	very happy	1972.0	26.0	male	married	bachelor	above average	excellent	0.8893
90.0	pretty happy	1972.0	20.0	female	never married	high school	average	good	0.8893
91.0	very happy	1972.0	25.0	male	married	bachelor	above average	excellent	0.8893
92.0	pretty happy	1972.0	57.0	female	married	high school	average	fair	1.3339
93.0	pretty happy	1972.0	58.0	female	married	high school	above average	good	1.3339
94.0	very happy	1972.0	54.0	male	married	high school	above average	good	0.8893
95.0	very happy	1972.0	35.0	female	married	bachelor	average	good	0.8893
96.0	very happy	1972.0	40.0	male	married	high school	average	excellent	0.8893
97.0	very happy	1972.0	57.0	male	married	high school	average	fair	1.3339
98.0	very happy	1972.0	64.0	female	married	high school	average	excellent	0.8893
99.0	very happy	1972.0	34.0	male	married	high school	average	excellent	0.8893
100.0	pretty happy	1972.0	25.0	female	married	high school	average	fair	0.8893
101.0	very happy	1972.0	28.0	male	married	lt high school	average	good	1.3339
102.0	pretty happy	1972.0	41.0	male	married	high school	average	good	0.8893
103.0	very happy	1972.0	36.0	female	married	high school	average	good	0.8893
104.0	very happy	1972.0	31.0	male	married	high school	above average	excellent	0.8893
105.0	pretty happy	1972.0	45.0	male	married	high school	average	fair	0.8893
106.0	pretty happy	1972.0	74.0	female	married	lt high school	average	fair	0.8893
107.0	pretty happy	1972.0	64.0	female	divorced	high school	above average	good	0.4446
108.0	pretty happy	1972.0	23.0	female	never married	high school	below average	excellent	0.4446
109.0	very happy	1972.0	27.0	female	divorced	bachelor	above average	excellent	0.4446
110.0	not too happy	1972.0	42.0	male	divorced	high school	far below average	fair	0.4446
111.0	not too happy	1972.0	47.0	male	divorced	lt high school	below average	good	0.4446
112.0	pretty happy	1972.0	26.0	male	never married	high school	above average	good	0.8893
113.0	pretty happy	1972.0	34.0	female	married	lt high school	below average	fair	0.8893
114.0	pretty happy	1972.0	52.0	male	married	lt high school	average	excellent	0.8893
115.0	pretty happy	1972.0	24.0	male	divorced	high school	average	excellent	1.7786
116.0	pretty happy	1972.0	36.0	female	separated	high school	below average	good	0.4446
117.0	pretty happy	1972.0	25.0	male	married	lt high school	above average	good	0.8893
118.0	not too happy	1972.0	46.0	female	separated	lt high school	far below average	excellent	1.3339
119.0	pretty happy	1972.0	54.0	female	married	lt high school	average	good	1.7786
120.0	pretty happy	1972.0	27.0	female	separated	high school	below average	fair	0.4446
121.0	pretty happy	1972.0	20.0	female	never married	lt high school	average	good	0.4446
122.0	very happy	1972.0	53.0	male	married	lt high school	average	fair	1.3339
123.0	not too happy	1972.0	47.0	male	married	lt high school	below average	poor	2.6679
124.0	very happy	1972.0	70.0	male	widowed	lt high school	average	fair	1.3339
125.0	very happy	1972.0	69.0	female	married	lt high school	average	good	1.7786
126.0	pretty happy	1972.0	49.0	female	married	lt high school	average	good	0.8893
127.0	pretty happy	1972.0	29.0	female	married	bachelor	average	excellent	0.8893
128.0	not too happy	1972.0	48.0	female	married	high school	average	good	1.3339
129.0	pretty happy	1972.0	67.0	female	married	lt high school	average	poor	0.8893
130.0	not too happy	1972.0	22.0	male	divorced	high school	average	excellent	1.3339
131.0	not too happy	1972.0	75.0	male	married	lt high school	average	poor	0.8893
132.0	pretty happy	1972.0	38.0	male	married	high school	average	good	0.8893
133.0	pretty happy	1972.0	46.0	male	married	high school	average	good	1.3339
134.0	very happy	1972.0	63.0	female	married	lt high school	below average	excellent	0.8893
135.0	pretty happy	1972.0	34.0	female	married	lt high school	below average	good	0.8893
136.0	pretty happy	1972.0	57.0	male	married	lt high school	average	good	0.8893
137.0	pretty happy	1972.0	22.0	female	never married	high school	average	excellent	0.4446
138.0	very happy	1972.0	46.0	male	married	lt high school	above average	good	0.8893
139.0	pretty happy	1972.0	73.0	female	married	lt high school	average	fair	0.8893
140.0	pretty happy	1972.0	73.0	male	married	high school	below average	fair	0.8893
141.0	pretty happy	1972.0	53.0	male	married	high school	average	fair	0.8893
142.0	pretty happy	1972.0	84.0	female	widowed	high school	average	fair	0.4446
143.0	not too happy	1972.0	27.0	male	married	high school	average	fair	0.8893
144.0	pretty happy	1972.0	69.0	female	divorced	lt high school	below average	fair	0.4446
145.0	pretty happy	1972.0	82.0	female	widowed	lt high school	below average	poor	0.4446
146.0	pretty happy	1972.0	67.0	female	never married	bachelor	above average	good	0.4446
147.0	pretty happy	1972.0	41.0	male	married	high school	above average	good	0.8893
148.0	pretty happy	1972.0	72.0	male	divorced	lt high school	below average	fair	0.4446
149.0	pretty happy	1972.0	38.0	male	married	lt high school	average	good	0.8893
150.0	very happy	1972.0	59.0	female	married	high school	average	fair	0.8893
151.0	very happy	1972.0	42.0	male	married	high school	above average	excellent	0.8893
152.0	pretty happy	1972.0	48.0	male	married	high school	average	good	1.3339
153.0	very happy	1972.0	59.0	female	married	lt high school	below average	excellent	0.8893
154.0	pretty happy	1972.0	39.0	female	married	lt high school	average	fair	0.8893
155.0	pretty happy	1972.0	49.0	female	married	high school	below average	fair	0.8893
156.0	pretty happy	1972.0	33.0	female	married	high school	average	good	0.8893
157.0	pretty happy	1972.0	53.0	female	widowed	lt high school	below average	good	0.4446
158.0	very happy	1972.0	30.0	female	married	high school	average	excellent	0.8893
159.0	pretty happy	1972.0	25.0	male	married	high school	below average	good	0.8893
160.0	pretty happy	1972.0	36.0	female	divorced	lt high school	far below average	good	0.8893
161.0	pretty happy	1972.0	30.0	male	married	high school	above average	fair	0.8893
162.0	pretty happy	1972.0	28.0	male	married	lt high school	below average	good	0.8893
163.0	pretty happy	1972.0	52.0	male	married	lt high school	average	good	0.8893
164.0	very happy	1972.0	44.0	male	married	lt high school	above average	excellent	0.8893
165.0	pretty happy	1972.0	50.0	male	never married	graduate	far below average	poor	0.4446
166.0	very happy	1972.0	38.0	female	separated	bachelor		excellent	0.4446
167.0	pretty happy	1972.0	26.0	male	never married	bachelor	average	good	0.8893
168.0	very happy	1972.0	28.0	female	married	high school	below average	excellent	1.3339
169.0	very happy	1972.0	81.0	female	married	high school	average	good	0.8893
170.0	very happy	1972.0	55.0	female	married	high school	average	excellent	0.8893
171.0	very happy	1972.0	76.0	male	married	lt high school	above average	excellent	0.8893
172.0	pretty happy	1972.0	29.0	male	married	high school	above average	excellent	0.8893
173.0	very happy	1972.0	19.0	male	never married	lt high school	below average	good	1.3339
174.0	pretty happy	1972.0	76.0	female	never married	lt high school	average	excellent	0.8893
175.0	pretty happy	1972.0	61.0	male	never married	graduate	above average	excellent	0.4446
